brand,reviews.rating,reviews.text,reviews.title,reviews.username,wine_type,reviews.dateAdded
Gallo,5.0,This a fantastic white wine for any occasion!,My Favorite White Wine,Bjh,white,2018-01-09
Fresh Craft Co.,5.0,"Tart, not sweet...very refreshing and delicious!",Yum!!,Wino,red,2018-01-09
1000 Stories,5.0,I was given this wine so it was a delightful surprise to find that it has a flavorful and delicious taste! A new favorite!!!!,A New Favorite!,Bama Mom,red,2018-01-09
1000 Stories,5.0,This is a phenomenal wine and my new favorite red.,"Bold, Flavorful, Aromatic, Delicious",Av Dub,red,2017-10-04
Wine Cube153,5.0,4 750ml bottles for the price of two With way less packaging YES PLEASE! I was nervous it was too good to be true and I wouldn't like the wine but it's fantastic! I have to go a bit out of my way to get it (I live near a state line and it isn't sold in my state due to liquor laws) but it's worth it.,"Yum! Plus, Environmentally Friendly!",Chelseamay,red,2018-01-10
Beck's Na,5.0,I LOVE Becks NA. It tastes just like a regular ale. It smells like one too. It tastes great. It's the only NA that I drink. My friends love it too. It has a great head when you pour.,Great Taste,Candib,red,2018-01-10
Gallo,3.0,This wine has a wonderful but strong aroma its a bit bitter has a bite to it but still goodit was worth it in the end,Simply Wonderful,Littlebit,red,2018-01-09
Gallo,2.0,"I would give one more star if it came clean on the bottle and called itself a 'sweet red'. Instead it get's poetic and grandiose about itself when all it is is a blend which (standard practice) gets a dash of grape juice concentrate to sweeten it. It also looses a star for the price, I rather look to the side of my Target's shelves and pick-up a Lambrusco for about 3-4 less.",A Sweet Red.,Condor9,red,2017-12-15
Charles Charles,5.0,"This is a very smooth red with Aromas of cocoa, coffee, tobacco sweet black cherry. Bold but soft. I highly recommend this one.",Charles & Charles Red Blend,Dsalano,red,2018-01-09
Fancy Pants,5.0,"Based on positive reviews, I served all of the Fancy Pants varieties at a recent party. My guests and I loved them! Since I am not a wine expert, I will provide some details on this variety from the Fancy Pants website: ...is like sunshine in the glass. Its brisk and bright, with inviting citrus, melon and passion fruit aromas leading to mouthwatering grapefruit and zesty lime flavors with hints of minerality on the palate. Vibrant acidity and a crisp, clean finish make this wine a versatile partner for a wide range of foodsespecially succulent seafood, Mediterranean-style grilled vegetables, and salads. Served well chilled, our Sauvignon Blanc is fun and friendlythe perfect pour for sunny afternoons and picnics.",This Wine Made My Party!,California Lawyer,white,2018-01-10
Martini Rossi,5.0,Nice fruity and sweet taking sparkling wine. Goes great in mimosa. You have to try it to see how you will like it. Even the guys would enjoy this at your wedding!,Nice Sparkling Wine Compared To Champagne,Shelly,red,2018-01-09
603 Brewery,5.0,A rich amber Ale with a subtle but noticeable hop character. Great beer to pair with food!,Great Nh Beer!,Cuttytz,red,2018-01-05
603 Brewery,5.0,"This light bodied IPA is dry hopped with cascade for a bold and bright HP aroma, balanced by a refreshing and crisp Ale. Great for a cookout out day at the beach, love it!",Dry-Hopped Ipa!,Cuttytz,white,2018-01-05
603 Brewery,5.0,"This light bodied IPA is dry hopped with cascade for a bold and bright HP aroma, balanced by a refreshing and crisp Ale. Great for a cookout out day at the beach, love it!",Dry-hopped Ipa!,Cuttytz,white,2017-09-12
Coppola,5.0,Great for a perfect summer day or a get together with the girls.,Lovely! Try It!,Taloma715,white,2018-01-09
California Roots,2.0,I'm not sure if this is a bad bottle or if it was intentionally made effervescent. I don't want bubbles when I drink Pinot Grigio. Goes well with mozzarella string cheese and Cinemasins.,Fizzy Pinot Grigio?,Marenghi,red,2018-01-10
Sancho Libre,5.0,"Obsessed with this new drink----However, it has been sold out at every Target I have been to lately :(",Obsessed,Jent,red,2018-01-10
Modern House Wines,5.0,"This is an excellent red wine, not to dry and not real sweet. More of a red blend. Great go with anything anytime. In the right price point as other known brands on the market.",Great Wine,Que,red,2018-01-09
Estancia,5.0,One of the best Cabernets I had in quite sometime......!!!!!!,Excellent Cab......!!!!!!!,Fabrizio,red,2018-01-09
VOGA Italia,5.0,"This is a great buy for the price. Someone had given me a bottle and I liked the look of it so much that I didn't want to open it. Had no idea it was so nicely priced and so easily available. Finally opened it when I was in a bind, needing white wine for a favorite holiday recipe and this was all I had on hand. It's a nice, smooth Pinot, very nice flavor, pleasurable to the palate. What I especially love about this brand, however, is the bottle itself! Screw off the black top and there is a smaller neck with a cork closure. The beauty is that the black cap is designed so that it will reseal the bottle without the cork needing to be squeezed back in...a really thoughtful design. I almost hate to admit how much I was impressed by it! Will be stopping by Target specifically to buy more to have in the house. Highly recommend.",Highly Recommended,Tunia,white,2018-01-09
Michelob Ultra,5.0,Gluten free plus lower on calories plus very refreshing!,Michelob Ultra Light Cider,Rfagent,red,2018-01-08
Wine Cube153,5.0,Best of the bunch of all of The wine Cube sku's. Target Wine Buyer: please bring back!,Please Don't Discontinue This Flavor Combination!,Winegirlie,red,2018-01-10
Wine Cube153,3.0,"I like the wine and I like the idea of a sealed cube during the week when only drinking a glass or two at a time. But when they re-sized the box a few months ago, it made it impossible to open and setup properly. While I applaud Target for reducing the packaging, this just isn't working.",Wine Is Good - The Cube Is Not,Mike,red,2018-01-10
Risata,5.0,"I have tried my share of Moscato D' Astis before, this has to be the smoothest that I have ever tried. Not too sweet or too fizzy but perfect. I got it for the pretty bottle but was very surprised about the taste. Try it, you won't be disappointed.",Could Not Believe The Taste,Sherman,red,2018-01-10
Barefoot,5.0,"Highly, highly recommend!! It's sweet but not syrupy- just right! And I love that it's bubbly, I don't have to mix my wine with seltzer anymore!",My New Fave!,Usababe,red,2018-01-10
California Roots,5.0,"This wine is amazing! I'm an avid wine drinker (mom life) and I'll continue to buy this for sure. For 5 it's a steal! Keep this around please, it's just another reason to love target!",Who Can Say No To Awesome $5 Wine,Ccc4038,red,2018-01-09
Robert Mondavi Winery,5.0,This wine was sooooo good. I usually don't like Cabernet but this special fermented wine is very tasty. It did not stay around too long.LOL.,Fantastic Wine,Trinettenp,red,2018-01-10
